txt_long;txt_court;kind;abbrev;voie-lieu
ZONE A URBANISER EN PRIORITE;ZUP;;;
ZONE URBANISER EN PRIORITE;ZUP;;;
ZONE D AMENAGEMENT DIFFERE;ZAD;;;
ZONE AMENAGEMENT DIFFERE;ZAD;;;
ZONE ACTIVITE;ZA;area;t;
ZONE ACTIVITES;ZA;area;t;
ZONE ARTISANALE;ZA;area;t;
ZA;ZA;area;t;
ZONE AMENAGEMENT CONCERTE;ZAC;area;t;
ZAC;ZAC;area;t;
ZAD;ZAD;area;t;
ZONE INDUSTRIELLE;ZI;area;t;
ZONE INDUST;ZI;area;t;
ZONE INDUS;ZI;;;
ZI;ZI;area;t;
ZONE;ZONE;area;f;
ZUP;ZUP;area;t;
UN;1;;f;
DEUX;2;;f;
TROIS;3;;f;
QUATRE;4;;f;
CINQ;5;;f;
SIX;6;;f;
SEPT;7;;f;
HUIT;8;;f;
NEUF;9;;f;
DIX;10;;f;
ONZE;11;;f;
DOUZE;12;;f;
TREIZE;13;;f;
QUATORZE;14;;f;
QUINZE;15;;f;
SEIZE;16;;f;
DIX SEPT;17;;f;
DIX HUIT;18;;f;
DIX NEUF;19;;f;
VINGT;20;;f;
VINGTS;20;;f;
VINGT DEUX;22;;f;
VINGT TROIS;23;;f;
PREMIER;1E;;f;
PREMIERE;1E;;f;
PREMIERE;1ere;
DEUXIEME;2E;;f;
TROISIEME;3E;;f;
QUATRIEME;4E;;f;
CINQUIEME;5E;;f;
SEPTIEME;7E;;f;
HUITIEME;8E;;f;
NEUVIEME;9E;;f;
DIXIEME;10E;;f;
ONZIEME;11E;;f;
DOUZIEME;12E;;f;
TREIZIEME;13E;;f;
QUATORZIEME;14E;;f;
QUINZIEME;15E;;f;
SEIZIEME;16E;;f;
VINGTIEME;20E;;f;
CENTIEME;100E;;f;
JANVIER;JAN;;t;
JANV;JAN;;t;
FEVRIER;FEV;;t;
FEVR;FEV;;t;
JUILLET;JUIL;;t;
OCTOBRE;OCT;;t;
SEPTEMBRE;SEPT;;t;
NOVEMBRE;NOV;;t;
DECEMBRE;DEC;;t;
